block_length,n_simulations,cagr_p10,cagr_p50,cagr_p90,maxdd_p10,maxdd_p50,maxdd_p90,p_cagr_ge_7,p_maxdd_gt_15,p_both,p_maxdd_le_20,cagr_expected_shortfall_p10,maxdd_expected_shortfall_p10
3,10000,0.0831994507963526,0.11460671749799167,0.14699143807258125,-0.19056738520663272,-0.13259749929607012,-0.09598774443226508,0.9648,0.6843,0.6773,0.0761,0.07167808664212655,-0.22068537651203474
6,10000,0.08336271213337813,0.11514287581652938,0.1474939928205762,-0.18609704965552365,-0.13001760162274617,-0.09373095674181318,0.9643,0.7019,0.6939,0.0632,0.07146325708119869,-0.2154607595743625
9,10000,0.08058478984668974,0.11507515087834241,0.15048227189531305,-0.19262683489787102,-0.1323657715694308,-0.09023329365077343,0.9526,0.6841,0.6736,0.0796,0.06772814673836951,-0.22218764218534626
12,10000,0.08036484739308895,0.1148894733387289,0.15082050094108398,-0.19022986102004802,-0.13596686097394323,-0.08835980520464759,0.9504,0.6932,0.6821,0.0674,0.06754472137290421,-0.2181697487896761
18,10000,0.07897039928191414,0.11464445624067676,0.15213025152633497,-0.18829290317219624,-0.13790420929738945,-0.08442038202761955,0.947,0.6976,0.6849,0.0699,0.06628772712661787,-0.21880395669841263
