s36_cagr,s36_maxdd,s36_sharpe,b6040_cagr,b6040_maxdd,b6040_sharpe,outperform_cagr,outperform_sharpe,hit_cagr_target,hit_dd_limit,hit_both,severe_dd
0.12192042684019411,-0.12229872123439145,1.060444802916811,0.06276636981020833,-0.26766652814723246,0.5996968786498915,1,1,1,1,1,0
0.16171127643993155,-0.17612622800236089,1.3710590041568598,0.04952585005383647,-0.3056816631673869,0.3724029888678106,1,1,1,0,0,0
0.16373390437675828,-0.08902860686575764,1.4510521749187726,0.060352836024263334,-0.10815023246546374,0.5769634839242025,1,1,1,1,1,0
0.09637724113534474,-0.1280513051262272,0.8353898718147363,0.07790829639806174,-0.12123223284352458,0.7926939284456742,1,1,1,1,1,0
0.09543671368270412,-0.18422939770774327,0.848819713755025,0.03736352163963241,-0.3190967633393077,0.3311089091251348,1,1,1,0,0,0
0.08006767506646728,-0.17992942444390125,0.7256483581838149,0.046622607540351746,-0.2952760077319001,0.44915787862602985,1,1,1,0,0,0
0.11679998329029972,-0.18792650939244493,0.8893930372850272,0.050879162967820024,-0.2903204323592009,0.39666235698898533,1,1,1,0,0,0
0.10283531752748498,-0.17497854224729126,0.8491172808654105,0.08157578183611736,-0.26253154733523687,0.7138704176074225,1,1,1,0,0,0
0.09009346096591186,-0.16994147556179462,0.8224241318181268,0.08990670045634408,-0.1317156320772157,0.8470889729101607,1,0,1,0,0,0
0.09051968740907457,-0.16793218111067676,0.7956823669013254,0.08770861458920942,-0.14581017762723714,0.9306903522700016,1,0,1,0,0,0
0.15906664839466433,-0.10601486893705125,1.3989812577060892,0.08078423460380613,-0.161795761854152,0.7938303776420959,1,1,1,1,1,0
0.11501323006393505,-0.09890105289052742,1.0668796540130407,0.10501381788183473,-0.1294306728002037,1.175214063972148,1,0,1,1,1,0
0.16320782917697896,-0.10233103061475679,1.4030387637732329,0.1174156987398709,-0.2232997195923596,1.1523182296326158,1,1,1,1,1,0
0.09021726385707729,-0.093705538009201,0.8133524424736731,0.06219102873019988,-0.14183929130821749,0.5270428320496144,1,1,1,1,1,0
0.12114186601065868,-0.13726494690400537,1.0971297281020294,0.03589952329770996,-0.35935713007824643,0.3074241647668532,1,1,1,1,1,0
0.12040904255891371,-0.1544533851234121,1.0203109872224598,0.0695090432504264,-0.21040817126833045,0.6058479359247726,1,1,1,0,0,0
0.13199739633411167,-0.09256846632918647,1.232930070704782,0.09827491697414614,-0.09143916588476497,1.1847982370352212,1,1,1,1,1,0
0.13689822349701264,-0.11739176192870981,1.0606722667735977,0.08522788051340302,-0.30845496253562543,0.7950941836277916,1,1,1,1,1,0
0.14604868051584097,-0.14545522034111913,1.24466525448624,0.07243131356732646,-0.13667932572377184,0.668154022296737,1,1,1,1,1,0
0.12496470080034272,-0.1191382252755041,1.0119684150467292,0.060648311292825774,-0.1696999804049102,0.5562470235465747,1,1,1,1,1,0
0.10357095860079202,-0.08412877602178892,0.9505576957168412,0.04327344085025753,-0.27220914181164435,0.43246915713412887,1,1,1,1,1,0
0.11284419095123255,-0.09555764960598279,0.9359170570405317,0.07023316285169345,-0.2037676906575575,0.6097081106421477,1,1,1,1,1,0
0.08399682491499805,-0.14544388250154638,0.6535398062398405,0.05253961010184094,-0.1675819839127679,0.3947172875945399,1,1,1,1,1,0
0.09901812703436397,-0.13027222974286357,0.8311035754152346,0.06608869726729782,-0.25041558756213156,0.6377156413851127,1,1,1,1,1,0
0.11712021655437455,-0.16591302654936224,0.9695189180928213,0.06482249132962914,-0.2395885521287806,0.5178660445386001,1,1,1,0,0,0
0.12583383513157598,-0.10483800243081964,1.0710224427687745,0.008112267196631828,-0.2745732343830658,0.031091652788247087,1,1,1,1,1,0
0.11781333455436638,-0.10495688951337456,1.1026448276027083,0.09034858648982702,-0.21396125848273806,0.740121261967288,1,1,1,1,1,0
0.14594951650745913,-0.08870592540855027,1.2330764924888826,0.06910490132868508,-0.272553158111853,0.716157571021101,1,1,1,1,1,0
0.13312024468030237,-0.17694851302303383,1.0283855999165579,0.04942153908881419,-0.3158410027877121,0.3908740452311096,1,1,1,0,0,0
0.12683207755507042,-0.11207412795705662,1.205232096777722,0.06592021122539848,-0.16640735835985176,0.5764856952532592,1,1,1,1,1,0
0.13637919636979734,-0.18955141451468216,1.0860256807878848,0.08064621742128675,-0.21831847876045396,0.7122571722169764,1,1,1,0,0,0
0.11500521626788207,-0.16864210836092808,0.9505214572698134,0.06462421139004815,-0.1460880705023364,0.59268376972813,1,1,1,0,0,0
0.11954645526714125,-0.15302445740076376,1.2415305922078752,0.05377383046714357,-0.16810486473086328,0.43004815234623206,1,1,1,0,0,0
0.15393362352466533,-0.08240783214567782,1.3461534847374532,0.07020329642269907,-0.25464383653056333,0.6358185770213531,1,1,1,1,1,0
0.0992279277245196,-0.12956444146244084,0.857873365887947,0.08203415706433859,-0.11440901499842149,0.831995268900281,1,1,1,1,1,0
0.11477848663232892,-0.10647240487210707,0.9914513086940261,0.06607381725576977,-0.13021903076907826,0.6234404005934401,1,1,1,1,1,0
0.12418150606524803,-0.1376185450069134,1.0063820626431155,0.03566311347705997,-0.3534602654307699,0.3028653743152258,1,1,1,1,1,0
0.09952181281791139,-0.22862073562938467,0.8514522541507391,0.06115467110190087,-0.1533208011837155,0.5435373411896364,1,1,1,0,0,1
0.08643565474819126,-0.2479297721938103,0.7439542948890252,0.04967849660393875,-0.1898466098096141,0.3632533079909845,1,1,1,0,0,1
0.09309890034840884,-0.10561750913830725,0.8130096042308805,0.052375866568674656,-0.2263716228094732,0.43159500147448776,1,1,1,1,1,0
0.13836315149689415,-0.1357584670061981,1.2011852776987604,0.11451667931318932,-0.08457986455267341,1.2464910848029302,1,0,1,1,1,0
0.1290040357884612,-0.10059614678321582,1.1493273061920068,0.07810463600235007,-0.1772169467783994,0.7271088972154496,1,1,1,1,1,0
0.09849921953021212,-0.2267557961414558,0.7944759953145533,0.025509261311143394,-0.3295243367264873,0.15456615831156092,1,1,1,0,0,1
0.08888636147423146,-0.13779012569413485,0.7672931649967097,0.08858170994609949,-0.18098112287899204,0.766337689317777,1,1,1,1,1,0
0.0851256081203482,-0.11378640877762969,0.6725376192630859,0.08029776204866645,-0.11917212357279383,0.7328116978604905,1,0,1,1,1,0
0.10504843482103055,-0.12954094639633384,0.9332095261124379,0.07182830043975197,-0.14656905064131565,0.734636087572378,1,1,1,1,1,0
0.10606243538497395,-0.13230427062865535,0.8454009173270794,0.029722389170857122,-0.2635939467832247,0.20614280907197186,1,1,1,1,1,0
0.11222940672519655,-0.17113811929386913,0.9963198383302967,0.058176446136432025,-0.17656326230832953,0.4626776663195576,1,1,1,0,0,0
0.13312020207823827,-0.17969959173966588,1.1617393451788198,0.07299391186055382,-0.22628576181232096,0.6288567667880021,1,1,1,0,0,0
0.15238085139486457,-0.10131765152473715,1.3271827665522915,0.05436676448395872,-0.2711654855272221,0.48345083362646213,1,1,1,1,1,0
0.07636695064019872,-0.15224455947925375,0.6481091400022237,0.03159919404996847,-0.41104058170307634,0.23323658298568561,1,1,1,0,0,0
0.11114416816286177,-0.1334901939869264,0.9650959498519099,0.0309953223951962,-0.41069300346958904,0.27351769804852927,1,1,1,1,1,0
0.10386258086626787,-0.17996899357103635,0.8501167485808233,0.0626611611919714,-0.14857280628666625,0.5264190825475472,1,1,1,0,0,0
0.13327720100608897,-0.12011532586903462,1.0394092696615937,0.05669317193615564,-0.3681773509551659,0.4784773248948443,1,1,1,1,1,0
0.09629374381852895,-0.13790420929738945,0.8171165627578559,0.00868518796149087,-0.30916214231547023,-0.03736906170126822,1,1,1,1,1,0
0.07674390587668833,-0.13888072217187863,0.7740219474679835,0.061329867926188,-0.1957632420199652,0.5705785148974972,1,1,1,1,1,0
0.08992789414678559,-0.2217995708206657,0.7553778781793306,0.03893234664774181,-0.23439053031546453,0.3428802943360062,1,1,1,0,0,1
0.12380377194858538,-0.10337348735492569,1.078231719163226,0.06909926424199564,-0.2636086942596132,0.6115376184404504,1,1,1,1,1,0
0.11678939981949665,-0.16301791223855167,0.8989953184763053,0.09628397009089218,-0.21668625114082063,0.7946303164652742,1,1,1,0,0,0
0.1124668151336281,-0.08319066497142258,0.9414346087413664,0.05693150152529358,-0.14634152831039127,0.44678372757338214,1,1,1,1,1,0
0.11943851058124744,-0.13035236527236016,1.0933858780138173,0.05486632744495057,-0.23602310300985352,0.46710551577875015,1,1,1,1,1,0
0.11748777864860904,-0.1164777345375716,1.0385928545988334,0.09351037866773138,-0.16648925141746174,0.9017606604400338,1,1,1,1,1,0
0.10885269484863569,-0.12093350263928149,0.9460620123393044,0.038940552997189126,-0.2820238696608198,0.30506814237647933,1,1,1,1,1,0
0.11584894618144292,-0.1412462145205523,0.9482772806094522,0.07301127259334295,-0.21117286895432208,0.6171550366373436,1,1,1,1,1,0
0.11859385315589055,-0.23137250574926693,0.969478247837816,0.0644920331448251,-0.2472019139895213,0.5401000768212849,1,1,1,0,0,1
0.13002056084608848,-0.14948461645186817,1.0121508025508823,0.07218569255684182,-0.21668625114082052,0.647969233420227,1,1,1,1,1,0
0.1190294597856576,-0.08835980520464759,0.9517672653840659,0.04925216003113775,-0.24515909900324917,0.4334965362963153,1,1,1,1,1,0
0.16190342839055005,-0.12563590502201905,1.5061477924598519,0.09406588673840166,-0.12687616594161866,0.9738952334340413,1,1,1,1,1,0
0.1657351282429229,-0.10734424033531698,1.4683694074602287,0.0494887139045439,-0.27063667810246217,0.41578266279045073,1,1,1,1,1,0
