Date,SPY_M1,SPY_M3,SPY_M6,SPY_M12,QQQ_M1,QQQ_M3,QQQ_M6,QQQ_M12,VNQ_M1,VNQ_M3,VNQ_M6,VNQ_M12,REM_M1,REM_M3,REM_M6,REM_M12,IEF_M1,IEF_M3,IEF_M6,IEF_M12,TLT_M1,TLT_M3,TLT_M6,TLT_M12,TIP_M1,TIP_M3,TIP_M6,TIP_M12,VGK_M1,VGK_M3,VGK_M6,VGK_M12,EWJ_M1,EWJ_M3,EWJ_M6,EWJ_M12,SCZ_M1,SCZ_M3,SCZ_M6,SCZ_M12,EEM_M1,EEM_M3,EEM_M6,EEM_M12,RWX_M1,RWX_M3,RWX_M6,RWX_M12,BIL_M1,BIL_M3,BIL_M6,BIL_M12,BWX_M1,BWX_M3,BWX_M6,BWX_M12,DBC_M1,DBC_M3,DBC_M6,DBC_M12,GLD_M1,GLD_M3,GLD_M6,GLD_M12,SPY_13612U,SPY_13612W,QQQ_13612U,QQQ_13612W,VNQ_13612U,VNQ_13612W,REM_13612U,REM_13612W,IEF_13612U,IEF_13612W,TLT_13612U,TLT_13612W,TIP_13612U,TIP_13612W,VGK_13612U,VGK_13612W,EWJ_13612U,EWJ_13612W,SCZ_13612U,SCZ_13612W,EEM_13612U,EEM_13612W,RWX_13612U,RWX_13612W,BIL_13612U,BIL_13612W,BWX_13612U,BWX_13612W,DBC_13612U,DBC_13612W,GLD_13612U,GLD_13612W
2008-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,-0.013980263157894801,,,,0.01861764174308922,,,,0.05692021006268,,,,-0.24539054642976854,,,,0.010246804759806105,,,,0.017616470338533308,,,,-0.006059509812788133,,,,0.01580035440047256,,,,-0.012769353551476459,,,,0.01912732276835083,,,,-0.03690962876056547,,,,-0.003574115876598949,,,,0.0015250544662308574,,,,0.026376349796424003,,,,-0.007745504840940609,,,,-0.06030359742150149,,,,-0.013980263157894801,-0.013980263157894801,0.01861764174308922,0.01861764174308922,0.05692021006268,0.05692021006268,-0.24539054642976854,-0.24539054642976854,0.010246804759806105,0.010246804759806105,0.017616470338533308,0.017616470338533308,-0.006059509812788133,-0.006059509812788133,0.01580035440047256,0.01580035440047256,-0.012769353551476459,-0.012769353551476459,0.01912732276835083,0.01912732276835083,-0.03690962876056547,-0.03690962876056547,-0.003574115876598949,-0.003574115876598949,0.0015250544662308574,0.0015250544662308574,0.026376349796424003,0.026376349796424003,-0.007745504840940609,-0.007745504840940609,-0.06030359742150149,-0.06030359742150149
2008-04-30,0.04935931458033216,,,,0.07813571396813423,,,,0.06202917134156127,,,,0.09151488227454463,,,,-0.02748391318573451,,,,-0.028939409740327493,,,,-0.025386715195632403,,,,0.04099433057130386,,,,0.07356507679870661,,,,0.019223468507333807,,,,0.09138265432307846,,,,0.046441381914291036,,,,-0.0026103980857080655,,,,-0.025353570196619546,,,,0.05715082241427383,,,,-0.03972117725160418,,,,0.04935931458033216,0.04935931458033216,0.07813571396813423,0.07813571396813423,0.06202917134156127,0.06202917134156127,0.09151488227454463,0.09151488227454463,-0.02748391318573451,-0.02748391318573451,-0.028939409740327493,-0.028939409740327493,-0.025386715195632403,-0.025386715195632403,0.04099433057130386,0.04099433057130386,0.07356507679870661,0.07356507679870661,0.019223468507333807,0.019223468507333807,0.09138265432307846,0.09138265432307846,0.046441381914291036,0.046441381914291036,-0.0026103980857080655,-0.0026103980857080655,-0.025353570196619546,-0.025353570196619546,0.05715082241427383,0.05715082241427383,-0.03972117725160418,-0.03972117725160418
2008-05-31,0.013439306358381309,0.04859449760765533,,,0.059122698139137286,0.16313708197441112,,,-0.0024147298520980076,0.11976960867355557,,,0.024420024420024555,-0.15621857190747546,,,-0.020859033307166097,-0.03801234023799027,,,-0.030446222413144985,-0.04191870954048604,,,-0.0035477546447576502,-0.034729130867323654,,,0.006702974444910081,0.06453041937389248,,,0.021837349397590522,0.08300079808459726,,,0.021138087498306923,0.0606750069795714,,,0.030751380009842455,0.08342290511058792,,,-0.01731914125924594,0.024642588412340016,,,-0.00021810250817877463,-0.0013071895424836555,,,-0.01840382233233051,-0.018056293149229963,,,0.06935654008438807,0.12171507607192256,,,0.006798018204862144,-0.0914951133291746,,,0.03101690198301832,0.03101690198301832,0.1111298900567742,0.1111298900567742,0.05867743941072878,0.05867743941072878,-0.06589927374372545,-0.06589927374372545,-0.029435686772578185,-0.029435686772578185,-0.036182465976815514,-0.036182465976815514,-0.019138442756040652,-0.019138442756040652,0.03561669690940128,0.03561669690940128,0.05241907374109389,0.05241907374109389,0.04090654723893916,0.04090654723893916,0.05708714256021519,0.05708714256021519,0.003661723576547038,0.003661723576547038,-0.0007626460253312151,-0.0007626460253312151,-0.018230057740780237,-0.018230057740780237,0.09553580807815532,0.09553580807815532,-0.042348547562156225,-0.042348547562156225
2008-06-30,-0.08712391273349496,-0.029190992493744905,,,-0.09643858607222378,0.0317569059398799,,,-0.1180030257186081,-0.06555537746433737,,,-0.20023837902264607,-0.10573078631719235,,,0.007902874813881633,-0.0402443014505397,,,0.02281789986708027,-0.03702158723537374,,,0.010493769324463553,-0.018653321201091866,,,-0.0898876404494382,-0.046227649367640455,,,-0.08032424465733234,0.008892481810832908,,,-0.08839378238341966,-0.05122950819672134,,,-0.10312892292298426,0.008929895733398086,,,-0.13732329722783176,-0.11289409099490288,,,0.0010907504363000253,-0.0017402653904721177,,,-0.006670272219217566,-0.04967230079337692,,,0.10727496917385948,0.2517424031223865,,,0.04600595101853977,0.01128568267315777,,,-0.05815745261361993,-0.05815745261361993,-0.03234084006617194,-0.03234084006617194,-0.09177920159147274,-0.09177920159147274,-0.1529845826699192,-0.1529845826699192,-0.016170713318329033,-0.016170713318329033,-0.007101843684146736,-0.007101843684146736,-0.004079775938314156,-0.004079775938314156,-0.06805764490853933,-0.06805764490853933,-0.03571588142324972,-0.03571588142324972,-0.0698116452900705,-0.0698116452900705,-0.047099513594793085,-0.047099513594793085,-0.12510869411136732,-0.12510869411136732,-0.0003247574770860462,-0.0003247574770860462,-0.028171286506297244,-0.028171286506297244,0.179508686148123,0.179508686148123,0.02864581684584877,0.02864581684584877
2008-07-31,-0.009450171821305808,-0.08359826589595398,,,0.006643061417644924,-0.03666030446996649,,,0.032761578044596895,-0.09130697253244802,,,-0.03626924987580726,-0.2104232804232804,,,0.0038636363636364024,-0.009308063249971799,,,-0.007255793805501454,-0.015518444933684039,,,-0.012795549374130744,-0.005975165717486686,,,-0.030178326474622708,-0.11143695014662747,,,-0.03846153846153855,-0.09638554216867468,,,-0.0660452426963738,-0.1306040904781255,,,-0.056275780481363835,-0.12757310680314526,,,-0.006171525856565219,-0.1574959408262674,,,0.0008716495968621452,0.0017448200654308632,,,0.011796733212341204,-0.013448947089010677,,,-0.10957683741648117,0.05432489451476785,,,-0.014770240700218928,0.037561931098052614,,,-0.046524218858629895,-0.046524218858629895,-0.015008621526160781,-0.015008621526160781,-0.02927269724392556,-0.02927269724392556,-0.12334626514954383,-0.12334626514954383,-0.002722213443167698,-0.002722213443167698,-0.011387119369592746,-0.011387119369592746,-0.009385357545808715,-0.009385357545808715,-0.07080763831062509,-0.07080763831062509,-0.06742354031510661,-0.06742354031510661,-0.09832466658724964,-0.09832466658724964,-0.09192444364225455,-0.09192444364225455,-0.0818337333414163,-0.0818337333414163,0.0013082348311465042,0.0013082348311465042,-0.0008261069383347364,-0.0008261069383347364,-0.027625971450856657,-0.027625971450856657,0.011395845198916843,0.011395845198916843
2008-08-31,0.014665300007884463,-0.08248966205618147,-0.03790370813397148,,0.014738218373721246,-0.07703082178453158,0.07353967670186035,,0.020262414881248914,-0.07065052950075645,0.040657292901914,,-0.02783004036103276,-0.25069527214938425,-0.367750586657727,,0.011772696400271565,0.023708624441644677,-0.015204936095196131,,0.02367186647758257,0.039432875498449205,-0.004138809296402424,,-0.001033154879308773,-0.003466691651831888,-0.03807542733110236,,-0.0370894232280371,-0.15009016507143846,-0.09524512699350263,,-0.04833333333333334,-0.15843773028739883,-0.0885873902633677,,-0.036027263875365034,-0.17927461139896372,-0.12947709271728436,,-0.06096132659056697,-0.2051986460338624,-0.1388940081001786,,-0.050963597430406904,-0.1863411051955205,-0.16629044394281411,,-0.0008708904855214694,0.0010907504363000253,-0.00021786492374731292,,-0.03838565022421525,-0.033531638723634294,-0.050982474774296294,,-0.05027513756878432,-0.0636251541307028,0.05034578146611324,,-0.09261521377012771,-0.06488899061570164,-0.15044707839467686,,-0.035242690060756164,-0.035242690060756164,0.0037490244303500044,0.0037490244303500044,-0.0032436072391978468,-0.0032436072391978468,-0.21542529972271465,-0.21542529972271465,0.00675879491557337,0.00675879491557337,0.019655310893209783,0.019655310893209783,-0.014191757954081008,-0.014191757954081008,-0.09414157176432607,-0.09414157176432607,-0.09845281796136662,-0.09845281796136662,-0.11492632266387104,-0.11492632266387104,-0.13501799357486932,-0.13501799357486932,-0.13453171552291385,-0.13453171552291385,6.650090104143302e-07,6.650090104143302e-07,-0.040966587907381946,-0.040966587907381946,-0.021184836744457963,-0.021184836744457963,-0.10265042759350207,-0.10265042759350207
2008-09-30,-0.09441293029761433,-0.08981568259918782,-0.11638486617635913,,-0.1510947338269285,-0.1328609391401353,-0.10532328554761283,,-0.010743936187530445,0.04236706689536862,-0.025965699631351313,,-0.06256627783669144,-0.12170889220069547,-0.21457130164371396,,-0.004699037816066287,0.010909090909090757,-0.0297742392845457,,0.011082693947144007,0.027507039202945505,-0.010532902283867052,,-0.04757427604362541,-0.060732498840982974,-0.07825295723384895,,-0.12893748979924935,-0.18655692729766804,-0.22416048844308756,,-0.06654991243432573,-0.14583333333333348,-0.1382376717865803,,-0.14696969696969697,-0.23201091281118558,-0.27135461604831757,,-0.13782771403868288,-0.23594849053729627,-0.22912559022284895,,-0.13944043321299637,-0.18833794424345607,-0.2799697942231453,,0.0026149487905862134,0.0026149487905862134,0.0008701326952360589,,-0.018839768699869364,-0.04537205081669682,-0.0927906174542944,,-0.10903344745851995,-0.2465478841870824,-0.056872037914691975,,0.04112103781666865,-0.06925601750547061,-0.05875193626908615,,-0.1002044930243871,-0.1002044930243871,-0.12975965283822555,-0.12975965283822555,0.0018858103588289543,0.0018858103588289543,-0.1329488238937003,-0.1329488238937003,-0.007854728730507077,-0.007854728730507077,0.009352276955407487,0.009352276955407487,-0.06218657737281911,-0.06218657737281911,-0.179884968513335,-0.179884968513335,-0.11687363918474651,-0.11687363918474651,-0.21677840860973338,-0.21677840860973338,-0.2009672649329427,-0.2009672649329427,-0.20258272389319923,-0.20258272389319923,0.002033343425469495,0.002033343425469495,-0.052334145656953525,-0.052334145656953525,-0.1374844565200981,-0.1374844565200981,-0.028962305319296038,-0.028962305319296038
2008-10-31,-0.1665522567358848,-0.23417172593235047,-0.2981936416184974,,-0.16062308671964065,-0.27694677866815054,-0.3034541299101663,,-0.3169326970544677,-0.310579637933898,-0.37352852399637804,,-0.1374434389140271,-0.21391347378079262,-0.37932437932437924,,-0.012027877697841638,-0.005093955173194553,-0.014354603566221869,,-0.02160623946037099,0.01265408530598866,-0.0030607313537024394,,-0.09081934846989148,-0.13496759650605816,-0.14013630846793024,,-0.2182874273936668,-0.34433443344334436,-0.41739980449657865,,-0.1566604127579737,-0.25083333333333335,-0.3230421686746988,,-0.23771462403789223,-0.37317429406036995,-0.4550402952729242,,-0.2618013284286279,-0.4023446705806075,-0.47858941775209674,,-0.2564237021499738,-0.39271948608137053,-0.4883637019664443,,-0.001304064333840338,0.00043544524276084573,0.0021810250817888566,,-0.06444866920152093,-0.11730941704035869,-0.12918067598655092,,-0.23854566952409095,-0.3556778389194597,-0.32067510548523204,,-0.1613964970024685,-0.2077734591893392,-0.17801590044936066,,-0.23297254142891088,-0.23297254142891088,-0.2470079984326525,-0.2470079984326525,-0.3336802863282479,-0.3336802863282479,-0.24356043067306632,-0.24356043067306632,-0.01049214547908602,-0.01049214547908602,-0.00400429516936159,-0.00400429516936159,-0.12197441781462663,-0.12197441781462663,-0.32667388844452994,-0.32667388844452994,-0.24351197158866864,-0.24351197158866864,-0.3553097377903955,-0.3553097377903955,-0.38091180558711074,-0.38091180558711074,-0.3791689633992628,-0.3791689633992628,0.00043746866356978814,0.00043746866356978814,-0.10364625407614352,-0.10364625407614352,-0.30496620464292756,-0.30496620464292756,-0.1823952855470561,-0.1823952855470561
2008-11-30,-0.0752599608771749,-0.3020436708368949,-0.3596178525595324,,-0.11347731860853161,-0.3683069495587157,-0.4169667843497854,,-0.2250060226451457,-0.47631450431385314,-0.5133131618759454,,-0.07017049180327872,-0.2481495227995758,-0.4366348827969806,,0.07361474570485838,0.05571716267621385,0.08074676440270312,,0.1388559732844985,0.12659846547314557,0.17102348249889232,,0.015200868621064068,-0.12091011658518247,-0.12395765014522642,,-0.0738255033557047,-0.36934878407050764,-0.4640033291718685,,-0.036707452725250334,-0.2416812609457093,-0.3618275607958734,,-0.07378640776699019,-0.3977272727272726,-0.5056994818652849,,-0.09925460475802306,-0.42671659734548184,-0.5443535753638745,,-0.09238363892806778,-0.4192238267148015,-0.5274463007159904,,-0.002611534276387495,-0.0013074743952931067,-0.00021815008726000507,,0.022149969518390433,-0.06174221227382959,-0.09320353344149979,,-0.11529503105590067,-0.3997893073479063,-0.4379778051787916,,0.12405382674516385,-0.0186023742503979,-0.0822842755779356,,-0.2456404947578674,-0.2456404947578674,-0.2995836841723442,-0.2995836841723442,-0.4048778962783148,-0.4048778962783148,-0.2516516324666117,-0.2516516324666117,0.07002622426125844,0.07002622426125844,0.14549264041884546,0.14549264041884546,-0.07655563270311494,-0.07655563270311494,-0.30239253886602696,-0.30239253886602696,-0.21340542482227767,-0.21340542482227767,-0.3257377207865159,-0.3257377207865159,-0.3567749258224598,-0.3567749258224598,-0.34635125545295325,-0.34635125545295325,-0.0013790529196468688,-0.0013790529196468688,-0.04426525873231298,-0.04426525873231298,-0.31768738119419954,-0.31768738119419954,0.007722392305610115,0.007722392305610115
